Status;NrHaul;RectangleAlpha;ICES SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Latitude2_deg;Latitude2_dec_min;Longitude2_deg;Longitude2_dec_min;Latitude3_deg;Latitude3_dec_min;Longitude3_deg;Longitude3_dec_min;Latitude4_deg;Latitude4_dec_min;Longitude4_deg;Longitude4_dec_min;Latitude5_deg;Latitude5_dec_min;Longitude5_deg;Longitude5_dec_min;Latitude6_deg;Latitude6_dec_min;Longitude6_deg;Longitude6_dec_min;Latitude7_deg;Latitude7_dec_min;Longitude7_deg;Longitude7_dec_min;Latitude8_deg;Latitude8_dec_min;Longitude8_deg;Longitude8_dec_min;Latitude9_deg;Latitude9_dec_min;Longitude9_deg;Longitude9_dec_min;Latitude10_deg;Latitude10_dec_min;Longitude10_deg;Longitude10_dec_min;0;Mean_Depth;Depth1;Depth2;Depth3;Depth4;Depth5;Depth6;Depth7;Depth8;Depth9;Depth10;Source;EEZ;NM12;Rope;Direction;Distance;0;0;Dist;Layer;Latitude_end_deg;Latitude_end_dec_min;Longitude_end_deg;Longitude_end_dec_min;;
V;22062;38G0;22;54;32,39;10;8,98;54;33,43;10;10,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;19;19;;;;;;;;;German R/V;GFR;No;;;2,497121671;;2;1,498487232;2;54;33,43;10;10,84;;
V;22063;38G0;22;54;33,58;10;13,51;54;32,22;10;9,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;19;18;;;;;;;;;German R/V;GFR;No;1;1;2,674295808;;2;2,674295808;2;54;32,22;10;9,54;;
V;22064;38G0;22;54;37,66;10;19,84;54;40,23;10;21,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;31;23;;;;;;;;;German R/V;GFR;No;1;;2,696373855;;2;2,696373855;2;54;40,23;10;21,25;;
V;22065;38G0;22;54;36,4;10;38,58;54;37,99;10;35,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;24;23;;;;;;;;;German R/V;DEN;No;1;1;2,503574502;;1;2,503574502;2;54;37,99;10;35,24;;
V;22071;38G1;22;54;32,4;11;24,4;54;31,4;11;27,3;54;30,6;11;28,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;28;28;28;;;;;;;;Havfisken;DEN;No;1;;2,882454463;;2;2,882454463;2;54;30,6;11;28,1;;
V;22072;38G1;22;54;33,53;11;21,74;54;32,54;11;23,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;28;28;;;;;;;;;Solea 2002;GFR;No;1;;1,560583391;;2;1,560583391;2;54;32,54;11;23,82;;
V;22075;38G0;22;54;48,3;10;8,7;54;46,4;10;10,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;28;28;;;;;;;;;Havfisken;DEN;No;;;2,253023428;;2;2,253023428;2;54;46,4;10;10,8;;
V;22076;38G0;22;54;49,11;10;16,47;54;50,66;10;15,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;32;32;;;;;;;;;German R/V;DEN;No;;1;1,694786744;;1;1,694786744;2;54;50,66;10;15,28;;
V;22077;38G0;22;54;41,63;10;19,45;54;41,39;10;22,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;23;23;23;;;;;;;;Havfisken;DEN;No;;;1,596016945;;1;1,596016945;2;54;41,39;10;22,18;;
V;22078;38G0;22;54;58,2;10;6,8;54;56,2;10;8,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;33;33;;;;;;;;;Havfisken;DEN;No;;;2,225532129;;1;2,225532129;2;54;56,2;10;8,5;;
V;22079;38G0;22;55;5,09;9;59,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;22;24;;;;;;;;;German R/V;DEN;No;;;2,502682312;;1;2,502682312;2;;;;;;
V;22081;39F9;22;55;6,3;9;59,28;55;3,9;9;59,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;28;28;;;;;;;;;Havfisken;DEN;No;;1;2,400982588;;1;2,400982588;2;55;3,9;9;59,16;;
V;22082;39G1;22;55;6,36;11;19,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;31;32;;;;;;;;;German R/V;DEN;No;;1;2,497195923;;1;2,497195923;2;;;;;;
V;22084;39G1;22;55;11,9;11;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;33;33;33;33;;;;;;;Havfisken;DEN;No;;1;1,941279148;;1;1,941279148;2;;;;;;
V;22085;40G0;22;55;38,66;10;32,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;25;26;;;;;;;;;German R/V;DEN;DEN;1;;2,501765966;;1;2,501765966;2;;;;;;
V;22086;40G0;22;55;35,96;10;55,36;55;33,5;10;54,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;22;23;;;;;;;;;German R/V;DEN;No;;1;2,50224799;;1;2,50224799;2;55;33,5;10;54,55;;
V;22087;40G0;22;55;33,4;10;50,3;55;31,3;10;51,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;38;38;;;;;;;;;Havfisken;DEN;No;;;2,244448428;;1;2,244448428;2;55;31,3;10;51,7;;
V;22089;40G0;22;55;41,7;10;13,2;55;42,2;10;9,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;21;21;;;;;;;;;Havfisken;DEN;No;;1;2,199041787;;1;2,199041787;2;55;42,2;10;9,4;;
V;22090;40G0;22;55;42,3;10;27,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;23;23;;;;;;;;;Havfisken;DEN;No;;1;2,253864608;;1;2,253864608;2;;;;;;
V;22091;40G0;22;55;43,32;10;38,2;55;43,05;10;33,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;23;23;;;;;;;;;German R/V;DEN;No;;1;2,49852527;;1;2,49852527;2;55;43,05;10;33,79;;
V;22092;40G0;22;55;49,8;10;49,2;55;47,5;10;50,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;38;38;;;;;;;;;Havfisken;DEN;No;;;2,381611185;;1;2,381611185;2;55;47,5;10;50,3;;
V;22094;41G0;22;56;2,6;10;55,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;23;23;;;;;;;;;Havfisken;DEN;No;;;2,288424957;;1;2,288424957;2;;;;;;
V;22100;40G0;22;55;42,9;10;47,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;45;45;;;;;;;;;Havfisken;DEN;No;;1;2,057291222;;1;2,057291222;3;;;;;;
V;22102;38G1;22;54;58,2;11;1,55;54;55,99;10;59,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;14;14;;;;;;;;;22017,02;DEN;No;;1;2,495946967;;1;2,495946967;2;54;55,99;10;59,53;;
V;22103;39G1;22;55;3,32;11;1,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;32;33;;;;;;;;;22082,02;DEN;No;;1;2,495294066;;1;2,495294066;2;;;;;;
V;22104;40G0;22;55;34,43;10;54,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;26;27;;;;;;;;;22085,02;DEN;DEN;;;2,490990384;;1;2,490990384;2;;;;;;
V;22105;38G0;22;54;55,99;10;59,53;54;53,77;10;57,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;14;14;;;;;;;;;22017,03;DEN;No;;1;2,507968235;;1;2,507968235;2;54;53,77;10;57,5;;
V;22106;40G0;22;55;38,61;10;11,86;55;38,19;10;16,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;16;16;;;;;;;;;22028,03;DEN;No;;;2,501893033;;1;2,501893033;2;55;38,19;10;16,23;;
V;22108;37G0;22;54;27,4;10;39,86;54;29,9;10;39,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;21;21;;;;;;;;;22055,03;GFR;No;;1;2,501518681;;2;2,501518681;2;54;29,9;10;39,71;;
V;22111;38G0;22;54;54,83;10;3,2;54;52,38;10;4,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;26;28;;;;;;;;;22079,03;DEN;No;;;2,502894006;;1;2,502894006;2;54;52,38;10;4,09;;
