"NrHaul";"RectangleAlpha";"ICES.SD";"Latitude1_deg";"Latitude1_dec_min";"Longitude1_deg";"Longitude1_dec_min";"Layer";"EEZ"
"248";28074;"43G8";28;57;10.5;20;35.2;5;"LAT"
"249";28075;"43H0";28;57;12.3;20;40.4;5;"LAT"
"250";28080;"43G9";28;56;33.5;19;34.6;6;"LAT"
"251";28083;"43H0";28;56;34.8;20;7.5;6;"LAT"
"252";28086;"43H0";28;57;10.8;20;25.9;6;"LAT"
"253";28090;"43H0";28;57;45.9;20;42.4;6;"LAT"
"254";28093;"43H1";28;57;29.3;21;26.2;2;"LAT"
"255";28099;"43H0";28;57;48.8;19;32;5;"SWE"
"256";28104;"43H1";28;57;51.3;19;28.2;4;"SWE"
"257";28107;"44H1";28;57;3.5;18;52.2;5;"SWE"
"258";28126;"44H1";28;57;14.68;21;5.63;3;"LAT"
"259";28127;"45G9";28;57;16.38;21;2.55;4;"LAT"
"260";28132;"45H1";28;57;13.8;21;9.4;3;"LAT"
"261";28136;"45G9";28;57;1.86;21;5.66;2;"LAT"
"262";28138;"45G9";28;57;4.05;21;7.77;2;"LAT"
"263";28154;"43H0";28;57;3.75;20;47.57;4;"LAT"
"264";28157;"43H0";28;56;39.38;20;45.92;2;"LAT"
"265";28159;"43H0";28;56;37.5;20;40.6;3;"LAT"
"266";28160;"43G9";28;56;36.49;20;41.28;3;"LAT"
"267";28161;"43G9";28;56;38.1;20;43.9;2;"LAT"
"268";28165;"43H0";28;57;7.18;20;39.42;5;"LAT"
"269";28180;"42H0";28;57;15.16;18;55.55;3;"SWE"
"270";28190;"42G9";28;57;58.9;20;58.43;5;"EST"
"271";28191;"42H0";28;58;1.6;21;5.9;4;"EST"
"272";28194;"42H0";28;56;32.03;20;15.12;6;"LAT"
"273";24071;"38G4";24;54;45.5;13;55.22;3;"GFR"
"274";24089;"38G3";24;54;54.1254;12;54;3;"DEN"
"275";24286;"38G3";24;54;41.56;14;39.445;3;"DEN"
"276";24289;"38G3";24;54;55.9;13;15.5;3;"GFR"
"277";24316;"39G3";24;55;9.276;14;3.96;3;"SWE"
"278";25049;"38G5";25;54;32.5;15;46.1;3;"POL"
"279";25080;"39G6";25;55;24.3;16;44.9;3;"POL"
"280";25140;"40G4";25;55;51.4;15;34.5;3;"SWE"
"281";25513;"40G7";25;55;43.78;16;41;3;"SWE"
"282";26121;"39H0";26;55;47.9;19;1.4;5;"RUS"
"283";28016;"42H0";28;57;10;18;51;3;"SWE"
"284";28122;"44H1";28;57;23.8;21;17.54;3;"LAT"
